parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
tau_p,$\tau_p$,0.1,high,High,avg_e2e_ms,Avg,1985.0096140759,58.0019596652,3
tau_p,$\tau_p$,0.1,high,High,p95_ms,P95,4639.5,153.5345991137,3
tau_p,$\tau_p$,0.1,high,High,p99_ms,P99,6875.31,368.4830378728,3
tau_p,$\tau_p$,0.2,low,Low,avg_e2e_ms,Avg,3311.7423585654,134.45747469,3
tau_p,$\tau_p$,0.2,low,Low,p95_ms,P95,6272.0898666667,164.8188399425,3
tau_p,$\tau_p$,0.2,low,Low,p99_ms,P99,8260.0240883333,589.8779534785,3
tau_p,$\tau_p$,0.2,mid,Medium,avg_e2e_ms,Avg,2631.1055048149,99.8599018626,3
tau_p,$\tau_p$,0.2,mid,Medium,p95_ms,P95,5489.8453333333,274.614730122,3
tau_p,$\tau_p$,0.2,mid,Medium,p99_ms,P99,8076.5797333333,632.4460451295,3
tau_p,$\tau_p$,0.2,high,High,avg_e2e_ms,Avg,2107.6505688217,70.7340971526,3
tau_p,$\tau_p$,0.2,high,High,p95_ms,P95,5180.6036,187.2373159923,3
tau_p,$\tau_p$,0.2,high,High,p99_ms,P99,8364.678765,449.3695583815,3
tau_p,$\tau_p$,0.3,low,Low,avg_e2e_ms,Avg,3386.3523144273,152.2031337555,3
tau_p,$\tau_p$,0.3,low,Low,p95_ms,P95,6493.8906666667,186.5715833132,3
tau_p,$\tau_p$,0.3,low,Low,p99_ms,P99,8585.4724933333,667.729877121,3
tau_p,$\tau_p$,0.3,mid,Medium,avg_e2e_ms,Avg,2702.5510284987,117.8346841978,3
tau_p,$\tau_p$,0.3,mid,Medium,p95_ms,P95,5736.6733333333,324.045381544,3
tau_p,$\tau_p$,0.3,mid,Medium,p99_ms,P99,8558.2914666667,746.2863332529,3
tau_p,$\tau_p$,0.3,high,High,avg_e2e_ms,Avg,2147.608012992,98.6566625981,3
tau_p,$\tau_p$,0.3,high,High,p95_ms,P95,5375.552,261.1499892303,3
tau_p,$\tau_p$,0.3,high,High,p99_ms,P99,8774.40548,626.7599741528,3
forget_gamma,$\gamma$,0.75,low,Low,avg_e2e_ms,Avg,3413.1273266879,116.0871359152,3
forget_gamma,$\gamma$,0.75,low,Low,p95_ms,P95,6510.3671666667,142.3003601541,3
forget_gamma,$\gamma$,0.75,low,Low,p99_ms,P99,8676.9776733333,509.2854994991,3
forget_gamma,$\gamma$,0.75,mid,Medium,avg_e2e_ms,Avg,2684.9346453536,106.2305040937,3
forget_gamma,$\gamma$,0.75,mid,Medium,p95_ms,P95,5597.1866666667,292.1338862577,3
forget_gamma,$\gamma$,0.75,mid,Medium,p99_ms,P99,8231.0421333333,672.7931925934,3
forget_gamma,$\gamma$,0.75,high,High,avg_e2e_ms,Avg,2132.2451043938,66.3612697663,3
forget_gamma,$\gamma$,0.75,high,High,p95_ms,P95,5180.075375,175.6621846756,3
forget_gamma,$\gamma$,0.75,high,High,p99_ms,P99,8249.23243,421.5892432214,3
forget_gamma,$\gamma$,0.85,low,Low,avg_e2e_ms,Avg,3220.8602326395,167.706490259,3
forget_gamma,$\gamma$,0.85,low,Low,p95_ms,P95,5961.6811666667,205.5756977369,3
forget_gamma,$\gamma$,0.85,low,Low,p99_ms,P99,7455.9697066667,735.7446024267,3
forget_gamma,$\gamma$,0.85,mid,Medium,avg_e2e_ms,Avg,2544.757742973,114.5057203811,3
forget_gamma,$\gamma$,0.85,mid,Medium,p95_ms,P95,5170.2466666667,314.8907310481,3
forget_gamma,$\gamma$,0.85,mid,Medium,p99_ms,P99,7213.7928,725.2028957471,3
forget_gamma,$\gamma$,0.85,high,High,avg_e2e_ms,Avg,1999.1292938591,77.8075068679,3
forget_gamma,$\gamma$,0.85,high,High,p95_ms,P95,4747.960875,205.9610475915,3
forget_gamma,$\gamma$,0.85,high,High,p99_ms,P99,7147.33108,494.3065142197,3
forget_gamma,$\gamma$,0.9,low,Low,avg_e2e_ms,Avg,3164.2845466115,110.2551292458,3
forget_gamma,$\gamma$,0.9,low,Low,p95_ms,P95,5737.6666666667,135.1514487529,3
forget_gamma,$\gamma$,0.9,low,Low,p99_ms,P99,7009.1633333333,483.6999218524,3
forget_gamma,$\gamma$,0.9,mid,Medium,avg_e2e_ms,Avg,2504.6553258053,81.8851195273,3
forget_gamma,$\gamma$,0.9,mid,Medium,p95_ms,P95,4990.6666666667,225.1840787001,3
forget_gamma,$\gamma$,0.9,mid,Medium,p99_ms,P99,6797.4933333333,518.6057570062,3
forget_gamma,$\gamma$,0.9,high,High,avg_e2e_ms,Avg,1985.0096140759,58.0019596652,3
forget_gamma,$\gamma$,0.9,high,High,p95_ms,P95,4639.5,153.5345991137,3
forget_gamma,$\gamma$,0.9,high,High,p99_ms,P99,6875.31,368.4830378728,3
forget_gamma,$\gamma$,0.95,low,Low,avg_e2e_ms,Avg,3251.9373806344,128.9857065725,3
forget_gamma,$\gamma$,0.95,low,Low,p95_ms,P95,6047.5011333333,158.1115112824,3
forget_gamma,$\gamma$,0.95,low,Low,p99_ms,P99,7764.2890693333,565.8727772212,3
forget_gamma,$\gamma$,0.95,mid,Medium,avg_e2e_ms,Avg,2568.4891216698,99.8599018626,3
forget_gamma,$\gamma$,0.95,mid,Medium,p95_ms,P95,5232.812,274.614730122,3
forget_gamma,$\gamma$,0.95,mid,Medium,p99_ms,P99,7436.9128533333,632.4460451295,3
forget_gamma,$\gamma$,0.95,high,High,avg_e2e_ms,Avg,2044.1302611712,83.6073411849,3
forget_gamma,$\gamma$,0.95,high,High,p95_ms,P95,4869.85585,221.3135501952,3
forget_gamma,$\gamma$,0.95,high,High,p99_ms,P99,7526.078972,531.1525204685,3
forget_gamma,$\gamma$,0.99,low,Low,avg_e2e_ms,Avg,3340.7237616815,152.2031337555,3
forget_gamma,$\gamma$,0.99,low,Low,p95_ms,P95,6257.2528333333,186.5715833132,3
forget_gamma,$\gamma$,0.99,low,Low,p99_ms,P99,8099.8768766667,667.729877121,3
forget_gamma,$\gamma$,0.99,mid,Medium,avg_e2e_ms,Avg,2631.1613687246,139.2799942562,3
forget_gamma,$\gamma$,0.99,mid,Medium,p95_ms,P95,5404.78,383.0199842045,3
forget_gamma,$\gamma$,0.99,mid,Medium,p99_ms,P99,7788.0672,882.1066302891,3
forget_gamma,$\gamma$,0.99,high,High,avg_e2e_ms,Avg,2060.5588135339,87.0069981381,3
forget_gamma,$\gamma$,0.99,high,High,p95_ms,P95,4922.139625,230.3126421302,3
forget_gamma,$\gamma$,0.99,high,High,p99_ms,P99,7615.792295,552.7503411125,3
